keyPressed,wordSaid,timeStamp
None,two,148100
None,two,148200
None,two,148300
None,two,148400
None,two,148500
None,two,148600
None,two,148700
None,one,148800
None,one,148900
None,one,149000
None,one,149100
None,one,149200
None,one,149300
None,one,149400
None,one,149500
None,one,149600
None,one,149700
None,one,149800
None,two,149900
None,two,150000
None,two,150100
None,two,150200
None,two,150300
None,two,150400
None,two,150500
None,two,150600
None,two,150700
None,two,150800
None,one,150900
None,one,151000
None,one,151100
None,one,151200
None,one,151300
None,one,151400
None,one,151500
None,one,151600
None,one,151700
None,one,151800
None,two,151900
None,two,152000
None,two,152100
None,two,152200
None,two,152300
None,two,152400
None,two,152500
None,two,152600
None,two,152700
None,two,152800
None,two,152900
None,one,153000
None,one,153100
None,one,153200
None,one,153300
None,one,153400
None,one,153500
None,one,153600
None,one,153700
None,one,153800
None,one,153900
None,two,154000
None,two,154100
None,two,154200
None,two,154300
None,two,154400
None,two,154500
None,two,154600
None,two,154700
None,two,154800
None,two,154900
None,one,155000
None,one,155100
None,one,155200
None,one,155300
None,one,155400
None,one,155500
None,one,155600
None,one,155700
None,one,155800
None,one,155900
None,two,156000
None,two,156100
None,two,156200
None,two,156300
None,two,156400
None,two,156500
None,two,156600
None,two,156700
None,two,156800
None,two,156900
None,one,157000
None,one,157100
None,one,157200
None,one,157300
None,one,157400
None,one,157500
None,one,157600
None,one,157700
None,one,157800
None,one,157900
None,one,158000
None,two,158100
None,two,158200
None,two,158300
None,two,158400
None,two,158500
None,two,158600
None,two,158700
None,two,158800
None,two,158900
None,two,159000
None,one,159100
None,one,159200
None,one,159300
None,one,159400
None,one,159500
None,one,159600
None,one,159700
None,one,159800
None,one,159900
None,one,160000
None,two,160100
None,two,160200
None,two,160300
None,two,160400
None,two,160500
None,two,160600
None,two,160700
None,two,160800
None,two,160900
None,two,161000
None,one,161100
None,one,161200
None,one,161300
None,one,161400
None,one,161500
None,one,161600
None,one,161700
None,one,161800
None,one,161900
None,one,162000
None,one,162100
None,two,162200
None,two,162300
None,two,162400
None,two,162500
None,two,162600
None,two,162700
None,two,162800
None,two,162900
None,two,163000
None,two,163100
None,one,163200
None,one,163300
None,one,163400
None,one,163500
None,one,163600
None,one,163700
None,one,163800
None,one,163900
None,one,164000
None,one,164100
None,two,164200
None,two,164300
None,two,164400
None,two,164500
None,two,164600
None,two,164700
None,two,164800
None,two,164900
None,two,165000
None,two,165100
None,one,165200
None,one,165300
None,one,165400
None,one,165500
None,one,165600
None,one,165700
None,one,165800
None,one,165900
None,one,166000
None,one,166100
None,two,166200
None,two,166300
None,two,166400
None,two,166500
None,two,166600
None,two,166700
None,two,166800
None,two,166900
None,two,167000
None,two,167100
None,two,167200
None,one,167300
None,one,167400
None,one,167500
None,one,167600
None,one,167700
None,one,167800
None,one,167900
None,one,168000
None,one,168100
None,one,168200
None,two,168300
None,two,168400
None,two,168500
None,two,168600
None,two,168700
None,two,168800
None,two,168900
None,two,169000
None,two,169100
None,two,169200
None,one,169300
None,one,169400
None,one,169500
None,one,169600
None,one,169700
None,one,169800
None,one,169900
None,one,170000
None,one,170100
None,one,170200
None,two,170300
None,two,170400
None,two,170500
None,two,170600
None,two,170700
None,two,170800
None,two,170900
None,two,171000
None,two,171100
None,two,171200
None,two,171300
None,one,171400
None,one,171500
None,one,171600
None,one,171700
None,one,171800
None,one,171900
None,one,172000
None,one,172100
None,one,172200
None,one,172300
None,two,172400
None,two,172500
None,two,172600
None,two,172700
None,two,172800
None,two,172900
None,two,173000
None,two,173100
None,two,173200
None,two,173300
None,one,173400
None,one,173500
None,one,173600
None,one,173700
None,one,173800
None,one,173900
None,one,174000
None,one,174100
None,one,174200
None,one,174300
None,two,174400
None,two,174500
None,two,174600
None,two,174700
None,two,174800
None,two,174900
None,two,175000
None,two,175100
None,two,175200
None,two,175300
None,two,175400
None,one,175500
None,one,175600
None,one,175700
None,one,175800
None,one,175900
None,one,176000
None,one,176100
None,one,176200
None,one,176300
None,one,176400
None,two,176500
None,two,176600
None,two,176700
None,two,176800
None,two,176900
None,two,177000
None,two,177100
None,two,177200
None,two,177300
None,two,177400
None,one,177500
None,one,177600
None,one,177700
None,one,177800
None,one,177900
None,one,178000
None,one,178100
None,one,178200
None,one,178300
None,one,178400
None,two,178500
None,two,178600
None,two,178700
None,two,178800
None,two,178900
None,two,179000
None,two,179100
None,two,179200
None,two,179300
None,two,179400
None,two,179500
None,one,179600
None,one,179700
None,one,179800
None,one,179900
None,one,180000
